index,coordinates,type,owner,troops,distance,resources,tribe,alliance,village,population
tile_20_-52,"(20, -52)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-51,"(20, -51)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-50,"(20, -50)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-49,"(20, -49)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-48,"(20, -48)",Wilderness,nature,,,,,,,
tile_20_-47,"(20, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-46,"(20, -46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-45,"(20, -45)",Occupied oasis,bugalamun,,70.6,Lumber,Romans,HNTR1,1.,
tile_20_-44,"(20, -44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-43,"(20, -43)",TÜRKİYE,Osmanbaba,,69.0,,Teutons,A2,,603.0
tile_20_-42,"(20, -42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-41,"(20, -41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-40,"(20, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-39,"(20, -39)",Occupied oasis,Doepie,,65.9,Crop,Egyptians,SE,[01] 420,
tile_20_-38,"(20, -38)",Wilderness,nature,,,,,,,
tile_20_-37,"(20, -37)",[,Doepie,,64.4,,Egyptians,SE,,701.0
tile_20_-36,"(20, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-35,"(20, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-34,"(20, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-33,"(20, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-32,"(20, -32)",Wilderness,nature,,,,,,,
tile_20_-31,"(20, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-30,"(20, -30)",Lezúziusz,Lezúziusz,,59.4,,Teutons,DC 2,,345.0
tile_20_-29,"(20, -29)",Wilderness,nature,,,,,,,
tile_20_-28,"(20, -28)",Burmo,Burovic,,58.1,,Egyptians,A2,,448.0
tile_20_-27,"(20, -27)",AES,aherse,,57.4,,Gauls,A2,,180.0
tile_20_-26,"(20, -26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-25,"(20, -25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-24,"(20, -24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-23,"(20, -23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-22,"(20, -22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-21,"(20, -21)",King RE,Lucifer1,,53.6,,Huns,R.E 4,,51.0
tile_20_-20,"(20, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-19,"(20, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-18,"(20, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-17,"(20, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-16,"(20, -16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-15,"(20, -15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-14,"(20, -14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-13,"(20, -13)",Unknown,end,,49.2,,Egyptians,R.E,,216.0
